mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,,std_test_score,rank_test_score
564.1072032,40.97958406,150.4514698,3.184602102,1,0.2,14,10000,44,0.02,0.09,0.9,"{'classifier__colsample_bytree': 1, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 14, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 44, 'classifier__reg_alpha': 0.02, 'classifier__reg_lambda': 0.09, 'classifier__subsample': 0.9}",0.706647266,0.70449719,0.706426057,0.713641452,0.709695688,0.708181531,0.416363061,0.003197294,15
545.5288477,3.834674665,161.3326797,1.773964616,1,0.2,12,10000,40,0.02,0.09,1,"{'classifier__colsample_bytree': 1, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 12, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 40, 'classifier__reg_alpha': 0.02, 'classifier__reg_lambda': 0.09, 'classifier__subsample': 1}",0.707658224,0.701663873,0.704109901,0.708499263,0.713420691,0.70707039,0.41414078,0.004017673,18
584.3204414,58.91969407,201.6660758,6.588958942,0.95,0.1,11,10000,41,0.01,0.08,0.9,"{'classifier__colsample_bytree': 0.95, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 11, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 41, 'classifier__reg_alpha': 0.01, 'classifier__reg_lambda': 0.08, 'classifier__subsample': 0.9}",0.707421914,0.706697724,0.706945583,0.716446844,0.71690144,0.710882701,0.421765402,0.0047366,7
528.9479074,4.858017543,206.4038663,1.765753877,0.9,0.2,11,10000,41,0,0.05,1,"{'classifier__colsample_bytree': 0.9, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 11, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 41, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 0.05, 'classifier__subsample': 1}",0.704891842,0.697937604,0.698120329,0.709978804,0.707943676,0.703774451,0.407548902,0.004963121,20
570.9901677,1.915801643,205.413474,2.414657666,1,0.1,11,10000,45,0.02,0.08,1,"{'classifier__colsample_bytree': 1, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 11, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 45, 'classifier__reg_alpha': 0.02, 'classifier__reg_lambda': 0.08, 'classifier__subsample': 1}",0.709606803,0.705369974,0.710835942,0.721494698,0.719391152,0.713339714,0.426679428,0.006113001,4
579.418803,3.899940961,211.7814367,2.595372877,0.9,0.1,14,10000,48,0.04,0.05,1,"{'classifier__colsample_bytree': 0.9, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 14, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 48, 'classifier__reg_alpha': 0.04, 'classifier__reg_lambda': 0.05, 'classifier__subsample': 1}",0.716094813,0.705904828,0.711376626,0.719709092,0.719823371,0.714581746,0.429163492,0.005321943,3
531.2133167,15.95056245,177.9265923,4.496334194,0.95,0.2,10,10000,43,0.01,0.06,0.9,"{'classifier__colsample_bytree': 0.95, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 43, 'classifier__reg_alpha': 0.01, 'classifier__reg_lambda': 0.06, 'classifier__subsample': 0.9}",0.703346613,0.701348644,0.706028585,0.715167592,0.716814167,0.70854112,0.417082241,0.006283007,12
591.7339441,3.642502111,215.2606207,1.794615916,0.95,0.1,11,10000,49,0.03,0.08,1,"{'classifier__colsample_bytree': 0.95, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 11, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 49, 'classifier__reg_alpha': 0.03, 'classifier__reg_lambda': 0.08, 'classifier__subsample': 1}",0.712078837,0.709718199,0.711253067,0.721206039,0.720967342,0.715044697,0.430089394,0.004991677,2
541.5425829,4.083381941,213.6111154,2.14657053,0.9,0.2,12,10000,43,0,0.08,0.95,"{'classifier__colsample_bytree': 0.9, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 12, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 43, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 0.08, 'classifier__subsample': 0.95}",0.705699729,0.700218749,0.69906745,0.711690261,0.708094818,0.704954201,0.409908403,0.004751255,19
473.9608432,18.24730201,155.0777852,4.257562671,0.95,0.2,11,10000,33,0.04,0.06,0.95,"{'classifier__colsample_bytree': 0.95, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 11, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 33, 'classifier__reg_alpha': 0.04, 'classifier__reg_lambda': 0.06, 'classifier__subsample': 0.95}",0.704128465,0.702528572,0.704763633,0.713540852,0.714059203,0.707804145,0.41560829,0.004952223,17
453.3935803,8.300425377,134.298388,5.341438264,0.95,0.2,13,10000,43,0.03,0.05,0.95,"{'classifier__colsample_bytree': 0.95, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 13, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 43, 'classifier__reg_alpha': 0.03, 'classifier__reg_lambda': 0.05, 'classifier__subsample': 0.95}",0.709127375,0.704411859,0.709884636,0.715412542,0.709328516,0.709632985,0.419265971,0.003494999,8
442.4843201,4.451552449,128.3486186,1.622990748,0.9,0.2,14,10000,47,0.04,0.06,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 14, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 47, 'classifier__reg_alpha': 0.04, 'classifier__reg_lambda': 0.06, 'classifier__subsample': 0.9}",0.710856961,0.702906549,0.705379127,0.714541202,0.713928526,0.709522473,0.419044946,0.004632916,9
536.59453,3.847191186,206.4008303,0.934809598,0.9,0.1,14,10000,44,0.04,0.05,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 14, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 44, 'classifier__reg_alpha': 0.04, 'classifier__reg_lambda': 0.05, 'classifier__subsample': 0.9}",0.714356815,0.710340216,0.710248937,0.719082147,0.721240264,0.715053676,0.430107352,0.004478622,1
525.2068389,11.71846288,206.0657482,4.047609208,1,0.1,10,10000,41,0.02,0.07,0.9,"{'classifier__colsample_bytree': 1, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 41, 'classifier__reg_alpha': 0.02, 'classifier__reg_lambda': 0.07, 'classifier__subsample': 0.9}",0.711423185,0.706177951,0.707689376,0.722037875,0.715354147,0.712536507,0.425073013,0.005716301,6
488.1297897,9.660013579,188.7066014,1.059945827,1,0.1,10,10000,34,0.01,0.06,0.9,"{'classifier__colsample_bytree': 1, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 34, 'classifier__reg_alpha': 0.01, 'classifier__reg_lambda': 0.06, 'classifier__subsample': 0.9}",0.707598919,0.70088113,0.705359316,0.713887035,0.716620077,0.708869295,0.417738591,0.005709587,11
425.0034433,8.428667488,179.6103002,1.060410508,1,0.1,13,10000,31,0,0.09,1,"{'classifier__colsample_bytree': 1, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 13, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 31, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 0.09, 'classifier__subsample': 1}",0.707416075,0.704180714,0.700975298,0.715191322,0.713059031,0.708164488,0.416328977,0.005318797,16
442.984782,7.444939807,177.6291042,1.805428159,0.95,0.1,12,10000,30,0.02,0.09,1,"{'classifier__colsample_bytree': 0.95, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 12, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 30, 'classifier__reg_alpha': 0.02, 'classifier__reg_lambda': 0.09, 'classifier__subsample': 1}",0.708218808,0.702970733,0.703818748,0.712803007,0.714623256,0.70848691,0.416973821,0.004659941,13
473.5846365,1.717952495,182.3409487,2.584181934,0.95,0.1,10,10000,34,0.01,0.07,0.9,"{'classifier__colsample_bytree': 0.95, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 34, 'classifier__reg_alpha': 0.01, 'classifier__reg_lambda': 0.07, 'classifier__subsample': 0.9}",0.706532841,0.701119548,0.706108918,0.714871047,0.716745598,0.709075591,0.418151181,0.005847763,10
511.0331175,4.213905445,142.5884161,21.37646954,1,0.1,11,10000,39,0.03,0.09,1,"{'classifier__colsample_bytree': 1, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 11, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 39, 'classifier__reg_alpha': 0.03, 'classifier__reg_lambda': 0.09, 'classifier__subsample': 1}",0.712229846,0.706944554,0.705335517,0.721861513,0.718656125,0.713005511,0.426011021,0.006426879,5
316.2041914,68.68361012,61.46260142,27.15065666,1,0.2,10,10000,49,0.04,0.08,0.95,"{'classifier__colsample_bytree': 1, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 10000, 'classifier__num_leaves': 49, 'classifier__reg_alpha': 0.04, 'classifier__reg_lambda': 0.08, 'classifier__subsample': 0.95}",0.709422366,0.702461271,0.705794511,0.710653178,0.71330089,0.708326443,0.416652887,0.003799231,14
